NumBooks,Income,SAT,ReadathonDuration
54.0,45.473121654126054,799.0,16.0
71.0,53.06486760859232,991.0,15.0
79.0,52.522465685020634,1017.0,19.0
92.0,61.32244116222803,1197.0,23.0
65.0,53.45323866612757,982.0,12.0
83.0,59.92828282148671,1136.0,26.0
64.0,51.067417204189866,919.0,19.0
65.0,47.213970454738806,891.0,15.0
76.0,61.069136815653884,1115.0,9.0
86.0,64.48916423039755,1194.0,23.0
87.0,66.32655248514409,1237.0,15.0
65.0,45.41706255397947,875.0,20.0
64.0,51.1267312022514,938.0,17.0
87.0,49.15465018248782,1028.0,30.0
68.0,36.997858615622924,796.0,27.0
74.0,67.7735872069691,1179.0,18.0
74.0,49.67147412724407,957.0,20.0
59.0,44.30175398730434,838.0,17.0
90.0,62.61392211152179,1205.0,23.0
61.0,44.72516895747074,836.0,18.0
70.0,53.3634180510423,985.0,20.0
62.0,43.07126522063757,799.0,21.0
102.0,74.69699970355188,1400.0,20.0
67.0,50.28227136819261,944.0,16.0
76.0,54.26865583432053,1024.0,19.0
74.0,52.15747092671861,1014.0,18.0
57.0,33.69191264448983,677.0,24.0
74.0,45.36237635127833,909.0,17.0
76.0,54.10623896961004,1037.0,22.0
69.0,40.16546335920265,840.0,19.0
76.0,51.10733247530166,997.0,25.0
66.0,56.0270950735352,1014.0,13.0
99.0,66.99950889399398,1270.0,25.0
69.0,47.004259907189244,908.0,26.0
80.0,54.63054799324749,1059.0,23.0
65.0,50.3602352981044,943.0,18.0
62.0,45.04503324332199,851.0,18.0
73.0,49.77217037726541,963.0,24.0
64.0,50.22923199072307,919.0,15.0
78.0,59.4852820059305,1105.0,24.0
54.0,39.97157905305354,765.0,15.0
81.0,48.61389019127418,982.0,28.0
67.0,38.631346685505704,802.0,27.0
54.0,30.666352767195296,649.0,24.0
62.0,44.846395826725434,847.0,19.0
76.0,52.20613305706597,1011.0,26.0
69.0,44.77765318878764,886.0,28.0
61.0,49.84230727072027,907.0,11.0
58.0,39.01866662386161,772.0,20.0
62.0,39.16752996604756,771.0,27.0
65.0,46.00450837343832,874.0,27.0
72.0,47.469494771837354,945.0,23.0
85.0,58.22068032894263,1105.0,24.0
67.0,54.780492346577624,994.0,14.0
79.0,57.4760242221636,1097.0,23.0
51.0,39.59582149190775,713.0,11.0
71.0,48.5638989045644,939.0,20.0
69.0,34.565247325242225,754.0,29.0
64.0,40.51450045830643,808.0,24.0
70.0,58.16337006760265,1030.0,16.0
73.0,52.30217118101097,982.0,18.0
72.0,51.32871435015224,976.0,24.0
63.0,40.14089552141299,808.0,19.0
54.0,38.30808321919171,730.0,24.0
61.0,30.87368616759308,673.0,28.0
75.0,52.08902026451508,1008.0,26.0
55.0,50.78662350799297,898.0,17.0
60.0,42.79269929479087,811.0,19.0
63.0,45.17086570192733,866.0,17.0
70.0,43.2416796858728,868.0,23.0
71.0,55.995102132456836,1028.0,22.0
58.0,48.91927899431165,883.0,17.0
46.0,32.08656357851605,613.0,18.0
85.0,50.849243996602524,1056.0,21.0
74.0,45.353137767416314,927.0,30.0
68.0,42.30857874941009,846.0,24.0
76.0,51.08944382763665,1007.0,22.0
75.0,56.91260918593828,1065.0,13.0
70.0,56.477308688356445,1016.0,20.0
89.0,72.54445641574304,1309.0,14.0
67.0,45.37348478218669,892.0,22.0
73.0,54.83566203413876,1015.0,28.0
67.0,43.00083845993243,864.0,27.0
78.0,61.54649267593803,1121.0,22.0
59.0,49.47689956235584,884.0,19.0
78.0,62.94812367307779,1139.0,16.0
63.0,42.192029817081995,822.0,18.0
87.0,64.98419140542255,1240.0,22.0
101.0,64.72254272000013,1272.0,26.0
66.0,42.33496293120308,834.0,17.0
69.0,49.62971377036557,933.0,18.0
85.0,65.6035109512381,1215.0,16.0
48.0,23.263151200511075,528.0,23.0
62.0,40.53141407369929,805.0,22.0
61.0,47.95918293746729,881.0,18.0
83.0,65.39739683336427,1204.0,28.0
80.0,60.42002837864008,1110.0,19.0
73.0,52.47287576606385,978.0,20.0
67.0,47.96140662319609,913.0,17.0
58.0,47.82743803732,852.0,8.0
68.0,48.516167538261186,924.0,15.0
70.0,51.12007672047189,950.0,19.0
57.0,44.97880316426862,813.0,17.0
64.0,39.55726669607165,796.0,22.0
78.0,45.595040424527134,947.0,24.0
67.0,46.753344020190525,883.0,19.0
80.0,56.9434865472128,1086.0,24.0
67.0,49.485388555540666,925.0,21.0
87.0,61.005771270014165,1158.0,21.0
50.0,23.27240380996419,535.0,22.0
79.0,54.05451950981654,1031.0,21.0
40.0,10.900732333944745,308.0,28.0
82.0,66.38187386831771,1208.0,17.0
77.0,57.61661710277656,1072.0,14.0
66.0,45.19535376901579,860.0,18.0
61.0,48.788486938427674,888.0,21.0
56.0,47.14036169364938,828.0,13.0
